Latitude,Longitude,Elevation_m,Distance_to_River_km,Distance_to_Coast_km,Rainfall_mm,Temperature_C,Soil_Type,Vegetation_Type,Archaeological_Potential
63.20742514545461,14.10267636893255,246,2.39,665.05,901,31,Clay,Coastal,High
-23.486697851004948,-80.84697402825091,1468,23.06,982.13,3684,2,Red Soil,Savanna,Low
29.461730035647776,129.48791296781087,444,49.9,658.62,1184,8,Red Soil,Shrubland,Low
-30.912884589549417,70.23961406996136,1605,30.38,222.86,576,6,Red Soil,Shrubland,Low
59.362444174268006,55.108707563817774,1288,24.66,341.67,815,-2,Alluvial,Desert,Low
5.98447786456947,18.07917424077303,955,39.42,242.36,3038,14,Red Soil,Forest,Low
-5.249754317658088,-39.07658114611502,2257,38.37,69.05,3387,15,Sandy,Coastal,Low
-5.796565468999525,163.7438158301553,755,37.93,778.34,1658,14,Sandy,Desert,Low
34.91310025546443,32.79853348046504,82,1.21,204.98,995,15,Laterite,Desert,High
-17.3109469545521,-112.4887341477105,227,42.27,451.71,2771,30,Sandy,Forest,Low
21.784759836280642,-166.99385865764674,2079,33.43,883.2,2224,13,Alluvial,Forest,Low
51.8549218652917,23.33892375462068,834,39.96,503.34,783,0,Clay,Grassland,Low
58.3596454514697,-2.418742656475814,2541,34.56,419.41,2446,24,Rocky,Coastal,Low
-5.2601909851196424,-62.614844829825785,2653,22.29,751.49,768,2,Clay,Shrubland,Low
-14.334564267598012,100.22976717198418,1573,33.15,906.59,3521,-4,Alluvial,Shrubland,Low
-51.90640848440919,-151.53955816687943,1702,16.13,659.47,1978,-4,Alluvial,Grassland,Low
-23.55028062528085,-174.4091568153514,986,23.3,518.88,3847,26,Alluvial,Savanna,Low
44.82919306104934,104.1775264386452,1288,33.36,807.47,3421,19,Clay,Shrubland,Low
-45.96533914932213,78.98667077442997,422,37.8,947.39,2893,29,Red Soil,Grassland,Low
52.7552676590079,-107.68888982325062,2004,38.05,717.86,1435,24,Black Soil,Savanna,Low
-38.392318049249596,146.00294124828605,1264,6.27,429.8,148,28,Alluvial,Savanna,Medium
54.38744039511839,44.97866631217465,893,42.09,812.4,3670,29,Clay,Savanna,Low
-33.57965202230932,84.26407799822266,1188,4.4,183.47,3686,33,Laterite,Desert,Medium
33.7587478457545,56.933283742232334,2738,5.28,295.59,3414,-2,Black Soil,Grassland,Medium
66.61420778111797,-152.38255306646383,487,17.05,704.42,1104,7,Sandy,Forest,Low
-31.047562529999613,-26.92516573926528,2147,44.67,509.62,3139,8,Clay,Coastal,Low
30.96436288159657,1.1559379197872488,956,24.0,675.5,490,5,Black Soil,Coastal,Low
-55.733585617952244,37.57973623580634,2101,15.49,755.72,2206,-5,Red Soil,Shrubland,Low
31.46875044833621,-178.45000891352996,1131,11.85,327.62,2821,27,Alluvial,Desert,Medium
14.920646167602428,124.78729108910983,2949,2.53,161.95,66,5,Rocky,Forest,Medium
51.17627347075529,74.55556462123059,1321,10.43,136.99,643,-5,Clay,Coastal,Medium
22.249037621400632,178.52873009470164,195,39.87,848.13,940,18,Black Soil,Grassland,Low
-8.92989770451134,92.67879131149243,2734,47.96,663.07,2479,11,Alluvial,Forest,Low
65.92783653679261,-179.93359682295474,681,17.48,923.6,3054,12,Black Soil,Shrubland,Low
-27.32028617571507,6.002659741575485,1720,0.73,314.58,515,13,Laterite,Shrubland,Medium
-47.14805380559304,-94.49579690418491,2902,34.69,582.79,2191,9,Sandy,Shrubland,Low
-52.88008520583133,100.89234670965925,2866,12.49,410.0,3858,20,Clay,Grassland,Medium
-29.219253285152682,150.50219552863905,1298,17.95,312.06,1003,22,Rocky,Shrubland,Low
-13.428080953488433,93.11816259130245,2807,18.86,826.65,2494,0,Red Soil,Savanna,Low
33.97110136966144,-8.789226327271109,1289,33.53,947.39,3391,30,Sandy,Coastal,Low
70.3798150656265,129.20335531124942,2340,39.46,456.27,1538,-3,Sandy,Forest,Low
-23.989022014309626,82.92044653496936,2052,27.36,12.5,1430,-2,Black Soil,Shrubland,Low
65.29642148878133,161.796092129565,2732,43.24,763.96,3742,1,Black Soil,Shrubland,Low
38.61932346050489,179.03319902815008,1218,12.02,460.45,1670,-3,Rocky,Savanna,Medium
17.741852285035463,-38.34701537794305,2954,34.8,996.44,3401,29,Rocky,Grassland,Low
-56.628112736672385,-160.14310497439774,2417,39.74,117.5,2638,23,Sandy,Savanna,Low
15.587016361980389,59.263691330995954,1445,41.03,47.78,2537,-4,Rocky,Desert,Low
59.97076048056671,155.2841666622632,1782,32.7,145.86,3163,23,Black Soil,Coastal,Low
59.446600212911704,147.360064503028,389,5.79,150.13,1916,9,Clay,Coastal,Medium
42.213658117594576,-95.33155988605982,1079,8.37,586.97,3085,8,Clay,Coastal,Medium
22.735136425100706,-118.59017913855811,1554,34.48,170.51,1191,11,Rocky,Coastal,Low
-8.206733051961521,-68.49375103607572,600,47.57,785.04,231,30,Alluvial,Shrubland,Low
-3.7407034236403334,156.03069722089583,313,20.72,292.84,3196,34,Alluvial,Grassland,Low
-38.03121539717898,41.41379551009743,2482,31.65,587.31,2366,26,Sandy,Grassland,Low
74.16609475544368,-178.8695904260093,1346,1.33,258.41,1043,20,Alluvial,Forest,Medium
34.74122023151247,-143.31909071164253,623,38.84,720.73,2336,3,Alluvial,Grassland,Low
63.04824813971807,74.39815777931344,1136,34.5,209.62,3390,26,Clay,Shrubland,Low
-54.66357933653439,-16.660219566189426,485,21.72,230.1,1559,-3,Rocky,Forest,Low
11.33742731560433,37.49374234794462,1016,36.08,388.83,3388,34,Red Soil,Shrubland,Low
3.374458122484313,152.1193093068992,2438,6.2,910.94,1631,13,Sandy,Coastal,Medium
-16.190683188412997,-134.0059687198413,959,11.45,855.65,1768,7,Sandy,Grassland,Medium
-16.822676752370597,-45.863690194783175,505,45.65,679.26,2811,13,Sandy,Grassland,Low
0.6741612638726551,1.4252316221765113,1912,27.28,638.88,2237,30,Laterite,Savanna,Low
32.81098033466675,128.07877533922755,1710,2.41,954.73,1851,35,Red Soil,Desert,Medium
55.42763034554858,-167.88262461024053,688,10.63,995.22,3750,4,Red Soil,Coastal,Medium
-26.351543166265316,16.55704160693068,1552,48.64,990.94,2311,0,Laterite,Savanna,Low
68.38138312758878,174.67916431021928,2723,16.46,229.28,3551,-3,Laterite,Grassland,Low
-45.337614119244066,-8.869934859227527,2778,26.27,698.77,316,15,Rocky,Shrubland,Low
74.88731490925613,-87.16297612408219,2801,6.43,41.79,2536,6,Clay,Shrubland,Medium
30.506611195463165,-174.84781620746583,1065,39.79,57.96,1066,-4,Laterite,Grassland,Low
17.454358675287537,14.460246728293754,1790,37.08,456.89,3369,13,Red Soil,Savanna,Low
46.943617632885406,68.79851188326933,2381,7.01,578.59,1593,22,Red Soil,Savanna,Medium
-20.935103728297037,-137.87294529978496,560,21.35,26.19,3316,6,Laterite,Coastal,Low
-31.041048871782927,45.40134816128571,2663,16.25,751.35,434,24,Alluvial,Shrubland,Low
-17.41550000599066,-130.1420961162189,903,39.71,961.82,3997,9,Laterite,Grassland,Low
-14.413146768935675,-57.48090573473104,35,47.65,828.05,3617,9,Sandy,Shrubland,Low
33.7525850229306,-84.59890292933652,2520,25.57,727.4,1164,22,Rocky,Forest,Low
5.832639849742691,103.33243010824657,1303,5.04,468.87,3425,10,Alluvial,Savanna,Medium
27.537119815855007,-177.60615063360845,1525,24.63,206.29,2275,-4,Sandy,Savanna,Low
10.933552088293737,-76.60577847948042,2790,37.23,447.79,3578,35,Laterite,Forest,Low
-26.973061469284524,-76.66219340522986,2949,32.22,825.02,3002,1,Clay,Shrubland,Low
-41.997362686041726,-170.18306267164715,1756,48.48,211.6,2758,2,Black Soil,Desert,Low
26.604646519923463,108.6674160276587,2237,34.21,578.11,3304,7,Clay,Savanna,Low
19.944240931095507,88.93485341319206,118,18.46,440.22,1227,13,Red Soil,Shrubland,Low
68.72709841703042,16.60877399716884,531,4.56,936.8,3016,32,Red Soil,Desert,Medium
-53.78636012757576,166.03626485109925,2054,22.16,359.8,1554,-2,Alluvial,Forest,Low
-9.8739668575042,-77.69943717048317,1331,5.82,749.01,2359,-2,Sandy,Shrubland,Medium
15.75143762085942,114.08939261908057,2229,17.45,210.26,1474,-2,Alluvial,Grassland,Low
45.01974128008601,-99.18761459081516,348,3.39,970.62,2712,11,Sandy,Grassland,High
12.552561373422463,115.50932389226602,329,30.64,2.47,708,18,Sandy,Savanna,Low
24.818497042915993,-156.59745884071953,941,5.28,411.05,227,5,Black Soil,Forest,Medium
65.35789617133352,-94.85291840475753,1603,38.67,587.79,99,31,Red Soil,Grassland,Low
-1.0195254845813793,-141.59536326457584,1766,15.53,226.01,377,-2,Black Soil,Savanna,Low
-42.83972175367721,-78.80839686053874,101,38.95,739.78,2735,17,Rocky,Forest,Low
0.014571999839319005,12.791012903521874,584,43.86,591.27,2707,26,Clay,Desert,Low
-16.36094911561834,-8.572206293009998,1343,41.11,215.61,161,29,Alluvial,Savanna,Low
-6.028316604618524,-107.20139056405135,699,43.32,214.13,1427,4,Red Soil,Savanna,Low
37.27870932897129,45.64530885390005,966,19.27,543.86,1488,5,Alluvial,Desert,Low
67.75380951946184,-92.9506919000822,2430,45.35,592.39,2068,10,Red Soil,Grassland,Low
43.47067223677047,-77.60037125559337,1432,45.78,780.35,3075,32,Laterite,Shrubland,Low
-8.603550102527898,-38.29703687136737,2531,26.07,29.3,575,30,Rocky,Desert,Low
11.331507752371692,19.373419267827927,1392,27.78,86.31,3204,22,Alluvial,Grassland,Low
-26.25402468576656,-21.715645896967658,2067,47.26,696.34,3201,-4,Black Soil,Forest,Low
-34.355732870182976,-89.58346109401572,1998,3.41,725.07,1558,-4,Alluvial,Desert,Medium
-24.819455387372265,166.73048963579924,1339,16.34,474.95,1664,20,Rocky,Coastal,Low
10.738844507964885,37.276104554165045,1040,3.06,460.02,2860,16,Rocky,Shrubland,Medium
34.656026483786675,-147.22499818558586,872,27.57,462.19,2109,16,Clay,Savanna,Low
67.93125408261537,-16.3579248330567,247,0.3,395.87,2371,25,Sandy,Desert,High
-55.513736998502075,124.83027991434295,451,32.39,677.58,123,5,Rocky,Savanna,Low
-6.772115877638235,111.93099138010041,2969,27.68,295.69,3028,28,Alluvial,Coastal,Low
