Site_Name,Latitude,Longitude,Category,Country,Region
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,34.84694,67.82525,Cultural,Afghanistan,Asia and the Pacific
Minaret and Archaeological Remains of Jam,34.39641667,64.51588889,Cultural,Afghanistan,Asia and the Pacific
Historic Centres of Berat and Gjirokastra,40.07416667,20.14083333,Cultural,Albania,Europe and North America
Butrint,39.745732,20.02095,Cultural,Albania,Europe and North America
Al Qal'a of Beni Hammad,35.81844,4.78684,Cultural,Algeria,Arab States
Tassili n'Ajjer,25.5,9.0,Mixed,Algeria,Arab States
M'Zab Valley,32.48333,3.68333,Cultural,Algeria,Arab States
Djémila,36.32056,5.73667,Cultural,Algeria,Arab States
Tipasa,36.55,2.383333333,Cultural,Algeria,Arab States
Timgad,35.48416667,6.468861111,Cultural,Algeria,Arab States
Kasbah of Algiers,36.78333,3.06028,Cultural,Algeria,Arab States
Madriu-Perafita-Claror Valley,42.49472222,1.595555556,Cultural,Andorra,Europe and North America
"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",-6.268888889,14.24972222,Cultural,Angola,Africa
Antigua Naval Dockyard and Related Archaeological Sites,17.00694444,-61.76166667,Cultural,Antigua and Barbuda,Latin America and the Caribbean
Los Glaciares National Park,-50.0,-73.24944,Natural,Argentina,Latin America and the Caribbean
Iguazu National Park,-25.577357,-54.286073,Natural,Argentina,Latin America and the Caribbean
"Cueva de las Manos, Río Pinturas",-47.15,-70.66666667,Cultural,Argentina,Latin America and the Caribbean
Península Valdés,-42.5,-64.0,Natural,Argentina,Latin America and the Caribbean
Ischigualasto / Talampaya Natural Parks,-30.0,-68.0,Natural,Argentina,Latin America and the Caribbean
Jesuit Block and Estancias of Córdoba,-31.42056,-64.19111,Cultural,Argentina,Latin America and the Caribbean
Quebrada de Humahuaca,-23.19986111,-65.34886111,Cultural,Argentina,Latin America and the Caribbean
Los Alerces National Park,-42.8528,-71.8728,Natural,Argentina,Latin America and the Caribbean
